index,repository,folder,filename
150,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851031.xml
151,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-921071.xml
152,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-90180.xml
153,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-06135.xml
154,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85406.xml
155,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-87239.xml
156,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-86457.xml
157,Clements Library (umich-wcl),Clements Library - XML,harms_final.xml
158,Clements Library (umich-wcl),Clements Library - XML,algerr_final.xml
159,Clements Library (umich-wcl),Clements Library - XML,paynegeorge_final.xml
160,Clements Library (umich-wcl),Clements Library - XML,martinr_final.xml
161,Clements Library (umich-wcl),Clements Library - XML,abbottfam_final.xml
162,Clements Library (umich-wcl),Clements Library - XML,sturnj_final.xml
163,Clements Library (umich-wcl),Clements Library - XML,ferrara_final.xml
164,Clements Library (umich-wcl),Clements Library - XML,houston_final.xml
165,Clements Library (umich-wcl),Clements Library - XML,foley_final.xml
166,Clements Library (umich-wcl),Clements Library - XML,kressbachg_final.xml
167,Clements Library (umich-wcl),Clements Library - XML,seelyh_final.xml
168,Clements Library (umich-wcl),Clements Library - XML,gudatta_final.xml
169,Clements Library (umich-wcl),Clements Library - XML,glassp_final.xml
170,Clements Library (umich-wcl),Clements Library - XML,ackerburgr_final.xml
171,Clements Library (umich-wcl),Clements Library - XML,greinerkent_final.xml
172,Clements Library (umich-wcl),Clements Library - XML,macarthur_final.xml
173,Clements Library (umich-wcl),Clements Library - XML,bisbeew_final.xml
174,Clements Library (umich-wcl),Clements Library - XML,weile_final.xml
175,Clements Library (umich-wcl),Clements Library - XML,huttore_final.xml
176,Clements Library (umich-wcl),Clements Library - XML,tapson_final.xml
177,Clements Library (umich-wcl),Clements Library - XML,andersonm_final.xml
178,Clements Library (umich-wcl),Clements Library - XML,shelburnew_final.xml
179,Clements Library (umich-wcl),Clements Library - XML,johnson_final.xml
180,Clements Library (umich-wcl),Clements Library - XML,hussey_final.xml
181,Clements Library (umich-wcl),Clements Library - XML,grfx_grosvenor_townsend_final.xml
182,Clements Library (umich-wcl),Clements Library - XML,hillardlow_final.xml
183,Clements Library (umich-wcl),Clements Library - XML,stonerj_final.xml
184,Clements Library (umich-wcl),Clements Library - XML,lacyfam_final.xml
185,Clements Library (umich-wcl),Clements Library - XML,searsdemas_final.xml
186,Clements Library (umich-wcl),Clements Library - XML,pitmanj_final.xml
187,Clements Library (umich-wcl),Clements Library - XML,mchalej_final.xml
188,Clements Library (umich-wcl),Clements Library - XML,dai_toa_senso_hoda_final.xml
189,Clements Library (umich-wcl),Clements Library - XML,whallone_final.xml
190,Clements Library (umich-wcl),Clements Library - XML,kunzs_final.xml
191,Clements Library (umich-wcl),Clements Library - XML,hibbssw_final.xml
192,Clements Library (umich-wcl),Clements Library - XML,macartneyg_final.xml
193,Clements Library (umich-wcl),Clements Library - XML,brownelle_final.xml
194,Clements Library (umich-wcl),Clements Library - XML,hagenc_final.xml
195,Clements Library (umich-wcl),Clements Library - XML,fostercharles_final.xml
196,Clements Library (umich-wcl),Clements Library - XML,starkb_final.xml
197,Clements Library (umich-wcl),Clements Library - XML,usservicemanmanila_final.xml
198,Clements Library (umich-wcl),Clements Library - XML,cdavis_final.xml
199,Clements Library (umich-wcl),Clements Library - XML,schlerethfam_final.xml
200,Clements Library (umich-wcl),Clements Library - XML,buchananf_final.xml
201,Clements Library (umich-wcl),Clements Library - XML,osbornj_final.xml
202,Clements Library (umich-wcl),Clements Library - XML,diedrichdn_final.xml
203,Clements Library (umich-wcl),Clements Library - XML,cape_final.xml
204,Clements Library (umich-wcl),Clements Library - XML,krepsj_final.xml
205,Clements Library (umich-wcl),Clements Library - XML,edwardsj_final.xml
206,Clements Library (umich-wcl),Clements Library - XML,whittemorelow_final.xml
207,Clements Library (umich-wcl),Clements Library - XML,dziuszko_final.xml
208,Clements Library (umich-wcl),Clements Library - XML,hecker_final.xml
209,Clements Library (umich-wcl),Clements Library - XML,nashd_final.xml
210,Clements Library (umich-wcl),Clements Library - XML,eichenlaubc_final.xml
211,Clements Library (umich-wcl),Clements Library - XML,rowee_final.xml
212,Clements Library (umich-wcl),Clements Library - XML,markere_final.xml
213,Clements Library (umich-wcl),Clements Library - XML,davisb_final.xml
214,Clements Library (umich-wcl),Clements Library - XML,degraffl_final.xml
215,Clements Library (umich-wcl),Clements Library - XML,kleinj_final.xml
216,Clements Library (umich-wcl),Clements Library - XML,sochas_final.xml
217,Clements Library (umich-wcl),Clements Library - XML,levye_final.xml
218,Clements Library (umich-wcl),Clements Library - XML,davisrobert_final.xml
219,Clements Library (umich-wcl),Clements Library - XML,brownell_final.xml
220,Clements Library (umich-wcl),Clements Library - XML,butcherl_final.xml
221,Clements Library (umich-wcl),Clements Library - XML,sklarzr_final.xml
222,Clements Library (umich-wcl),Clements Library - XML,wochnac_final.xml
223,Clements Library (umich-wcl),Clements Library - XML,marigold_final.xml
224,Special Collections (umich-scl),SCRC Finding Aids - XML,UM_Press_Pasternak_20221006_152244_UTC__ead.xml
225,Special Collections (umich-scl),SCRC Finding Aids - XML,ams.0067_20221006_151857_UTC__ead.xml
226,Special Collections (umich-scl),SCRC Finding Aids - XML,day_20221006_152322_UTC__ead.xml
227,Special Collections (umich-scl),SCRC Finding Aids - XML,ams0085_20221006_151551_UTC__ead.xml
228,Special Collections (umich-scl),SCRC Finding Aids - XML,sayles_20221006_151935_UTC__ead.xml
229,Special Collections (umich-scl),SCRC Finding Aids - XML,AMS0004_20221006_152139_UTC__ead.xml
230,Special Collections (umich-scl),SCRC Finding Aids - XML,winslow_20221006_151658_UTC__ead.xml
231,Special Collections (umich-scl),SCRC Finding Aids - XML,weber_20221006_151638_UTC__ead.xml
232,Special Collections (umich-scl),SCRC Finding Aids - XML,ams.0074_20221006_151614_UTC__ead.xml
233,Special Collections (umich-scl),SCRC Finding Aids - XML,ams.0059_20221006_152030_UTC__ead.xml
234,Special Collections (umich-scl),SCRC Finding Aids - XML,ams.0025_20221006_152051_UTC__ead.xml
235,Special Collections (umich-scl),SCRC Finding Aids - XML,ams.0066_20221006_151503_UTC__ead.xml
236,Special Collections (umich-scl),SCRC Finding Aids - XML,ams0047_20221006_151800_UTC__ead.xml
237,Special Collections (umich-scl),SCRC Finding Aids - XML,adler_20221006_152012_UTC__ead.xml
238,Special Collections (umich-scl),SCRC Finding Aids - XML,CUL.Ephemera.Beverages_20221006_151529_UTC__ead.xml
239,Special Collections (umich-scl),SCRC Finding Aids - XML,schock_20221006_151918_UTC__ead.xml
240,Special Collections (umich-scl),SCRC Finding Aids - XML,Tate_20221006_152302_UTC__ead.xml
241,Special Collections (umich-scl),SCRC Finding Aids - XML,hayden_20221006_152224_UTC__ead.xml
242,Special Collections (umich-scl),SCRC Finding Aids - XML,welsh_20221006_151818_UTC__ead.xml
243,Special Collections (umich-scl),SCRC Finding Aids - XML,ams0064_20221006_151742_UTC__ead.xml
244,Special Collections (umich-scl),SCRC Finding Aids - XML,ams0060_20221006_152157_UTC__ead.xml
245,Special Collections (umich-scl),SCRC Finding Aids - XML,Fine_Kaye_20221006_151836_UTC__ead.xml
246,Special Collections (umich-scl),SCRC Finding Aids - XML,Power__NCLIS_20221006_152116_UTC__ead.xml
